,date,AR,AU,BR,CA,CL,HK,CN,CO,FR,DE,IN,IT,JP,KR,MX,NZ,NO,PT,SA,ZA,ES,SE,CH,UK,US
0,2014-12-01,0.2528,0.2659,0.2687,0.2347,0.3174,0.1081,0.1315,0.2989,0.2744,0.2509,0.2256,0.2109,0.1977,0.1327,0.2817,0.2095,0.1892,0.2476,0.1897,0.1858,0.2927,0.227,0.2543,0.2179,0.241
1,2015-12-01,0.2641,0.2581,0.262,0.2555,0.3139,0.1231,0.1482,0.3195,0.2727,0.2603,0.2533,0.2383,0.187,0.109,0.312,0.2152,0.1841,0.2017,0.1828,0.2013,0.3035,0.2091,0.2408,0.2346,0.2472
2,2016-12-01,0.2758,0.2378,0.2468,0.2521,0.3095,0.1456,0.1451,0.2997,0.2701,0.264,0.2223,0.2418,0.1911,0.1185,0.3097,0.2144,0.1761,0.2511,0.2046,0.1898,0.3097,0.2188,0.2476,0.2413,0.2283
3,2017-12-01,0.2892,0.2346,0.2438,0.2548,0.3145,0.1469,0.1752,0.3004,0.2938,0.2611,0.215,0.2484,0.2095,0.132,0.3174,0.219,0.1906,0.2565,0.1931,0.1783,0.3154,0.2408,0.2411,0.2744,0.2583
4,2018-12-01,0.2877,0.2489,0.2493,0.2645,0.3005,0.1619,0.209,0.3317,0.3075,0.2943,0.21,0.1717,0.2024,0.1414,0.3341,0.2229,0.2023,0.2603,0.1421,0.2237,0.3208,0.2795,0.2796,0.2932,0.2665
5,2019-12-01,0.2898,0.3118,0.2562,0.3034,0.3544,0.1695,0.2211,0.3587,0.3309,0.3018,0.2193,0.168,0.2085,0.1559,0.359,0.2453,0.2041,0.1856,0.2496,0.253,0.3512,0.2881,0.2914,0.3319,0.2822
6,2020-12-01,0.2766,0.3117,0.263,0.2611,0.329,0.1695,0.2248,0.3712,0.3444,0.3079,0.2453,0.1834,0.1962,0.1619,0.3351,0.2421,0.2171,0.2381,0.2439,0.2652,0.344,0.2958,0.2881,0.3128,0.2764
7,2021-12-01,0.2807,0.3288,0.2684,0.2543,0.337,0.202,0.2377,0.372,0.3698,0.3154,0.2643,0.2912,0.229,0.1912,0.3388,0.2525,0.2452,0.2471,0.2706,0.2548,0.3554,0.2982,0.2882,0.3406,0.2964
8,2022-12-01,0.2878,0.3344,0.2599,0.2828,0.3413,0.2071,0.2483,0.3425,0.3665,0.291,0.2635,0.2707,0.2409,0.1795,0.3553,0.2713,0.2157,0.3213,0.2961,0.2492,0.3583,0.2755,0.2976,0.3059,0.297
